,bacterial1.fasta,bacterial2.fasta,bacterial3.fasta,bacterial4.fasta,mamalian1.fasta,mamalian2.fasta,mamalian3.fasta,mamalian4.fasta
AA,0.0008577800651912849,0.004258843014314445,0.004918653045781309,0.00648202710665881,0.004706217912150599,0.006990253027468741,0.0016131923283742606,0.009673852957435046
AC,0.0006862240521530279,0.001301313143262747,0.0012611930886618741,0.00019642506383814575,0.0019965772960638907,0.002264448163827902,0.0010754615522495072,0.001658374792703151
AD,0.0013724481043060558,0.002484325091683426,0.0025223861773237483,0.006285602042820664,0.001426126640045636,0.002067539627842867,0.0012547051442910915,0.002902155887230514
AE,0.004117344312918168,0.002602626286525494,0.00340522133938706,0.004517776468277352,0.0011409013120365088,0.0025598109678054543,0.0012547051442910915,0.002902155887230514
AF,0.003259564247726883,0.00224772270199929,0.003152982721654685,0.0029463759575721863,0.0029948659440958356,0.002264448163827902,0.0012547051442910915,0.002211166390270868
AG,0.0025733401955738548,0.002484325091683426,0.005044772354647497,0.003928501276762915,0.0024244152880775814,0.004824259131633356,0.0010754615522495072,0.0046987285793255945
AH,0.00034311202607651396,0.0009464095587365432,0.0008828351620633119,0.0005892751915144372,0.000713063320022818,0.001870631091857832,0.0001792435920415845,0.0017965726920950802
AI,0.003602676273803397,0.004613746598840648,0.0056753688989784334,0.006285602042820664,0.002852253280091272,0.0038397164517081817,0.004660333393081197,0.002625760088446656
AK,0.004975124378109453,0.002484325091683426,0.0054231302812460585,0.008249852681202121,0.0027096406160867087,0.002067539627842867,0.001792435920415845,0.0017965726920950802
AL,0.005489792417224223,0.004968650183366852,0.007567158531971245,0.00648202710665881,0.006988020536223617,0.006596435955498671,0.0023301666965405985,0.004975124378109453
AM,0.002058672156459084,0.001301313143262747,0.002774624795056123,0.0005892751915144372,0.0017113519680547634,0.0017721768238653146,0.001433948736332676,0.0009673852957435047
AN,0.003259564247726883,0.003430734650419969,0.0029007441039223107,0.0037320762129247694,0.002852253280091272,0.002067539627842867,0.003226384656748521,0.0013819789939192924
AO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP,0.001200892091267799,0.001301313143262747,0.003152982721654685,0.0019642506383814574,0.0022818026240730175,0.004331987791670769,0.0008962179602079225,0.004836926478717523
AQ,0.001544004117344313,0.0018928191174730864,0.003152982721654685,0.0037320762129247694,0.0017113519680547634,0.002658265235797972,0.000716974368166338,0.0020729684908789387
AR,0.001029336078229542,0.003903939429788241,0.00340522133938706,0.001571400510705166,0.0027096406160867087,0.005513439007580979,0.0005377307761247536,0.004007739082365948
AS,0.0034311202607651397,0.0031941322607358332,0.004540295119182747,0.003142801021410332,0.005989731888191671,0.006202618883528601,0.002509410288582183,0.005666113875069099
AT,0.003259564247726883,0.0020111203123151546,0.00390969857485181,0.0037320762129247694,0.005276668568168853,0.0038397164517081817,0.001433948736332676,0.006633499170812604
AU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AV,0.004460456338994682,0.003430734650419969,0.005044772354647497,0.004910626595953644,0.004278379920136908,0.004725804863640839,0.0023301666965405985,0.008153676064123825
AW,0.001887116143420827,0.0010647107535786111,0.0007567158531971245,0.00019642506383814575,0.0012835139760410724,0.0009845426799251747,0.0005377307761247536,0.0017965726920950802
AY,0.001544004117344313,0.002484325091683426,0.0020179089418589985,0.002160675702219603,0.0034227039361095267,0.0016737225558727971,0.0008962179602079225,0.002625760088446656
A*,0.00017155601303825698,0.0005915059742103396,0.0002522386177323748,0.0,0.0005704506560182544,0.0004922713399625873,0.0,0.0002763957987838585
CA,0.000514668039114771,0.0009464095587365432,0.0006305965443309371,0.00019642506383814575,0.0018539646320593268,0.0014768140198877621,0.000716974368166338,0.0013819789939192924
CC,0.00034311202607651396,0.0003549035845262037,0.0005044772354647496,0.0,0.001426126640045636,0.0017721768238653146,0.000358487184083169,0.0023493642896627973
CD,0.00034311202607651396,0.0005915059742103396,0.0005044772354647496,0.00019642506383814575,0.0015687393040501997,0.0009845426799251747,0.0012547051442910915,0.0006909894969596462
CE,0.0,0.0005915059742103396,0.00037835792659856227,0.00019642506383814575,0.0012835139760410724,0.0006891798759476223,0.0005377307761247536,0.0013819789939192924
CF,0.000514668039114771,0.001183011948420679,0.0007567158531971245,0.0003928501276762915,0.0009982886480319453,0.0008860884119326573,0.001433948736332676,0.000552791597567717
CG,0.001029336078229542,0.0010647107535786111,0.00037835792659856227,0.0005892751915144372,0.0019965772960638907,0.001870631091857832,0.0021509231044990144,0.0019347705914870095
CH,0.000514668039114771,0.0014196143381048148,0.0005044772354647496,0.00019642506383814575,0.0008556759840273817,0.0009845426799251747,0.0016131923283742606,0.0008291873963515755
CI,0.001029336078229542,0.0009464095587365432,0.00037835792659856227,0.0009821253191907287,0.0018539646320593268,0.0023629024318204193,0.002867897472665352,0.0008291873963515755
CK,0.0006862240521530279,0.0003549035845262037,0.0016395510152604363,0.0013749754468670202,0.0011409013120365088,0.0012799054839027272,0.000716974368166338,0.0002763957987838585
CL,0.001029336078229542,0.0016562167277889507,0.0018917896329928112,0.000785700255352583,0.002852253280091272,0.002658265235797972,0.0026886538806237675,0.0020729684908789387
CM,0.00017155601303825698,0.0003549035845262037,0.0002522386177323748,0.00019642506383814575,0.00042783799201369084,0.0007876341439401398,0.000716974368166338,0.00041459369817578774
CN,0.00034311202607651396,0.0003549035845262037,0.0005044772354647496,0.000785700255352583,0.0022818026240730175,0.0011814512159102097,0.0012547051442910915,0.001105583195135434
CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP,0.0006862240521530279,0.001301313143262747,0.0005044772354647496,0.0003928501276762915,0.0009982886480319453,0.0014768140198877621,0.0008962179602079225,0.0012437810945273632
CQ,0.001029336078229542,0.0003549035845262037,0.0002522386177323748,0.0003928501276762915,0.00042783799201369084,0.0012799054839027272,0.000358487184083169,0.0008291873963515755
CR,0.0008577800651912849,0.0021294215071572223,0.0005044772354647496,0.00019642506383814575,0.0015687393040501997,0.0016737225558727971,0.0008962179602079225,0.0019347705914870095
CS,0.0017155601303825698,0.0018928191174730864,0.0011350737797956867,0.0003928501276762915,0.0022818026240730175,0.0023629024318204193,0.001792435920415845,0.002902155887230514
CT,0.0008577800651912849,0.0007098071690524074,0.0008828351620633119,0.0,0.0037079292641186536,0.0016737225558727971,0.001792435920415845,0.0023493642896627973
CU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CV,0.0006862240521530279,0.0016562167277889507,0.00037835792659856227,0.0003928501276762915,0.0029948659440958356,0.0016737225558727971,0.001792435920415845,0.0013819789939192924
CW,0.00017155601303825698,0.0004732047793682716,0.00037835792659856227,0.0,0.0002852253280091272,0.0007876341439401398,0.0001792435920415845,0.00041459369817578774
CY,0.00034311202607651396,0.0007098071690524074,0.0005044772354647496,0.0003928501276762915,0.0015687393040501997,0.0005907256079551048,0.0012547051442910915,0.001658374792703151
C*,0.00034311202607651396,0.0002366023896841358,0.0006305965443309371,0.00019642506383814575,0.0005704506560182544,9.845426799251748e-05,0.000358487184083169,0.0002763957987838585
DA,0.001887116143420827,0.00224772270199929,0.0026485054861899358,0.004321351404439206,0.002139189960068454,0.0028551737717830068,0.00197167951245743,0.002763957987838585
DC,0.00034311202607651396,0.0007098071690524074,0.0005044772354647496,0.00019642506383814575,0.0009982886480319453,0.0005907256079551048,0.0005377307761247536,0.00041459369817578774
DD,0.002230228169497341,0.0028392286762096296,0.00390969857485181,0.004517776468277352,0.0017113519680547634,0.0011814512159102097,0.004481089801039613,0.002211166390270868
DE,0.002916452221650369,0.0021294215071572223,0.0022701475595913734,0.0037320762129247694,0.0018539646320593268,0.003544353647730629,0.002867897472665352,0.002902155887230514
DF,0.0034311202607651397,0.00224772270199929,0.0025223861773237483,0.0027499508937340405,0.0031374786081003994,0.0012799054839027272,0.00197167951245743,0.0017965726920950802
DG,0.002401784182535598,0.002602626286525494,0.0056753688989784334,0.006089176978982518,0.0034227039361095267,0.001870631091857832,0.00197167951245743,0.002763957987838585
DH,0.000514668039114771,0.0018928191174730864,0.0010089544709294992,0.000785700255352583,0.0012835139760410724,0.0008860884119326573,0.000716974368166338,0.0009673852957435047
DI,0.004632012352032939,0.004258843014314445,0.0025223861773237483,0.003142801021410332,0.0024244152880775814,0.0011814512159102097,0.009499910378203979,0.0012437810945273632
DK,0.0034311202607651397,0.002602626286525494,0.004288056501450372,0.003928501276762915,0.0015687393040501997,0.0014768140198877621,0.004481089801039613,0.0015201768933112217
DL,0.0027448962086121117,0.003785638234946173,0.0032791020305208726,0.006089176978982518,0.004563605248146035,0.003741262183715664,0.0034056282487901057,0.0035931453841901604
DM,0.0006862240521530279,0.0018928191174730864,0.0008828351620633119,0.000785700255352583,0.0005704506560182544,0.0011814512159102097,0.000358487184083169,0.000552791597567717
DN,0.0027448962086121117,0.0028392286762096296,0.0025223861773237483,0.0019642506383814574,0.0029948659440958356,0.0014768140198877621,0.005377307761247535,0.0008291873963515755
DO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,0.0013724481043060558,0.0010647107535786111,0.0005044772354647496,0.002357100766057749,0.001426126640045636,0.0023629024318204193,0.0016131923283742606,0.0020729684908789387
DQ,0.0006862240521530279,0.00224772270199929,0.0010089544709294992,0.0013749754468670202,0.0005704506560182544,0.0008860884119326573,0.000716974368166338,0.0008291873963515755
DR,0.002058672156459084,0.002720927481367562,0.0013873123975280616,0.002357100766057749,0.0017113519680547634,0.0027567195037904893,0.001792435920415845,0.0017965726920950802
DS,0.003088008234688626,0.0028392286762096296,0.003026863412788498,0.004714201532115498,0.0027096406160867087,0.0023629024318204193,0.0034056282487901057,0.0031785516860143724
DT,0.004117344312918168,0.002484325091683426,0.0037835792659856224,0.0025535258298958947,0.0029948659440958356,0.001870631091857832,0.003226384656748521,0.002763957987838585
DU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DV,0.0025733401955738548,0.0028392286762096296,0.0032791020305208726,0.0035356511490866236,0.0029948659440958356,0.002067539627842867,0.0026886538806237675,0.0031785516860143724
DW,0.0008577800651912849,0.0008281083638944754,0.0002522386177323748,0.0003928501276762915,0.00042783799201369084,0.0005907256079551048,0.0005377307761247536,0.0002763957987838585
DY,0.002058672156459084,0.0017745179226310187,0.0025223861773237483,0.0025535258298958947,0.002139189960068454,0.0008860884119326573,0.004122602616956444,0.000552791597567717
D*,0.0,0.0007098071690524074,0.0002522386177323748,0.00019642506383814575,0.0002852253280091272,0.0002953628039775524,0.0,0.0002763957987838585
