,bacterial1.fasta,bacterial2.fasta,bacterial3.fasta,bacterial4.fasta,mamalian1.fasta,mamalian2.fasta,mamalian3.fasta,mamalian4.fasta
A,0.05710627400768246,0.054817080343489,0.06772533266382125,0.06507486055387024,0.05980657090029868,0.06985636550811314,0.03291116660720656,0.07438982468202131
C,0.0117797695262484,0.01964474767674391,0.013306552849610846,0.009394265583716607,0.03193002417863746,0.02735428207265062,0.026578665715305032,0.029632176005500173
D,0.044899701237729406,0.04605340548170803,0.04902083856389656,0.05871415989822879,0.04032143365097426,0.03691357419481347,0.05699250802711381,0.036782399449982815
E,0.061886470337174565,0.04858251970356429,0.0464474014561888,0.05832273216557393,0.03854359266107239,0.04598264620814746,0.04058151980021406,0.039944998281196284
F,0.049082373026035,0.04952358546053406,0.04763996987195581,0.05284274390840591,0.050277343194424694,0.04161968723957057,0.04780592222618623,0.03300103128222757
G,0.05121638924455826,0.05417009763557228,0.05718051719809189,0.06448771895488796,0.04963732043806002,0.0606402274621305,0.03737067427755976,0.06868339635613613
H,0.013316261203585146,0.025702858487236795,0.0186417273412001,0.01242783051179176,0.024747546579433937,0.028138634246776803,0.026221905101676775,0.03176349260914404
I,0.07451984635083227,0.0709916480414069,0.07042430328897815,0.0794598297289363,0.05468638884938131,0.04676699838227364,0.10203353549768106,0.039876246132691646
K,0.08706786171574904,0.0542289142453829,0.07400200853627918,0.08141696839221059,0.057246479874839995,0.04176675327221922,0.060560114163396364,0.028875902371949123
L,0.10055484421681604,0.09016586283966592,0.0987321114737635,0.09795479009687837,0.11129284596785663,0.09696553752634933,0.09596860506600072,0.08429013406668959
M,0.029193341869398207,0.036760381131631575,0.033768516193823754,0.02064781289754379,0.02936993315317878,0.03157017500857885,0.03835176596503746,0.028463389480921277
N,0.058301323090055486,0.04764145394659452,0.05046447401456189,0.05900773069771993,0.05077513867159721,0.036178244031570175,0.07001427042454512,0.028532141629425918
O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.02791293213828425,0.046406305140571695,0.03427065026362039,0.03053136314707897,0.03776134262551557,0.06402274621304965,0.031038173385658223,0.06490202818838088
Q,0.03627827571489543,0.0363486648629573,0.03885262365051469,0.02818279675114982,0.03783245626511165,0.04049218098926418,0.017659650374598643,0.033894809212787896
R,0.03397353819889031,0.06405128808375485,0.04079839317097665,0.03366278500831784,0.03925472905703314,0.07191528996519438,0.04058151980021406,0.0922653832932279
S,0.07690994451557832,0.07787319138924832,0.07406477529500377,0.07163127507583912,0.07523823069264685,0.08402372665326732,0.08009275775954335,0.08848401512547267
T,0.06419120785317968,0.057110928126102814,0.06358272658799899,0.05499559643800763,0.07303370786516854,0.061228491592725136,0.058776311095255086,0.07102096940529391
U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.05855740503627828,0.062227973179625924,0.06314335927692694,0.06830413934827283,0.07850945811406627,0.062306975832148635,0.06002497324295398,0.0715022344448264
W,0.01391378574477166,0.016351017527349722,0.012553351744915892,0.010177121049026324,0.012373773289716969,0.015981175547820973,0.00829468426685694,0.016775524235132348
Y,0.03960734101579172,0.030349370662275027,0.03565151895556114,0.036304922203738134,0.04039254729057033,0.027305260061767735,0.05779521940777738,0.02695084221381918
*,0.009731113956466069,0.010998706034584166,0.009728847602309817,0.006458557588805167,0.006969136680415304,0.008971027991568214,0.010346057795219408,0.009969061533172912
