,bacterial1.fasta,bacterial2.fasta,bacterial3.fasta,bacterial4.fasta,mamalian1.fasta,mamalian2.fasta,mamalian3.fasta,mamalian4.fasta
AA,0.0005249343832020997,0.004234212436486813,0.00463082068433239,0.006766169154228856,0.003615851894706393,0.007720072187687989,0.001281347245103423,0.009871668311944718
AC,0.0006999125109361329,0.0013307524800387127,0.0011577051710830975,0.0,0.0021695111368238355,0.0023059955885301785,0.001281347245103423,0.0022563813284445073
AD,0.002274715660542432,0.0031454149528187757,0.0032158476974530484,0.003980099502487562,0.003181949667341626,0.0016041708441949067,0.001098297638660077,0.0016922859963333804
AE,0.0031496062992125984,0.0026615049600774254,0.0036017494211474143,0.0029850746268656717,0.00202487706103558,0.00300782033286545,0.001281347245103423,0.0023974051614722887
AF,0.0024496937882764656,0.0029034599564481006,0.0037303833290455364,0.0025870646766169153,0.0027480474399768588,0.0026067776218167233,0.0009152480322167307,0.0025384289945000705
AG,0.004549431321084864,0.003387369949189451,0.005402624131721122,0.004975124378109453,0.003181949667341626,0.005213555243633447,0.001281347245103423,0.005781977154139049
AH,0.0012248468941382328,0.0012097749818533753,0.0009004373552868536,0.0009950248756218905,0.0008678044547295343,0.0013033888109083617,0.001281347245103423,0.0021153574954167254
AI,0.00647419072615923,0.004113234938301476,0.005273990223823,0.004577114427860697,0.0037604859704946487,0.003108081010627632,0.004759289767527,0.0046537864899167955
AK,0.00647419072615923,0.0038712799419308008,0.005273990223823,0.003582089552238806,0.0028926815157651145,0.0022057349107679966,0.0029287937030935385,0.0016922859963333804
AL,0.006649168853893263,0.004839099927413501,0.006688963210702341,0.005174129353233831,0.005785363031530229,0.0071185081211148984,0.003844041735310269,0.007051191651389085
AM,0.002274715660542432,0.0008468424872973627,0.002444044250064317,0.0007960199004975124,0.0023141452126120912,0.0011028674553839983,0.0007321984257733846,0.0015512621633055987
AN,0.005074365704286964,0.0018146624727800628,0.002572678157962439,0.003383084577114428,0.003181949667341626,0.00300782033286545,0.0018304960644334614,0.0011281906642222536
AO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP,0.0010498687664041995,0.0029034599564481006,0.0012863390789812194,0.0013930348258706469,0.0018802429852473243,0.0040104271104872665,0.0009152480322167307,0.0031025243266111975
AQ,0.0024496937882764656,0.0024195499637067507,0.0016722408026755853,0.001990049751243781,0.0026034133641886026,0.0017044315219570884,0.0007321984257733846,0.0021153574954167254
AR,0.0029746281714785653,0.0038712799419308008,0.0015436068947774634,0.001990049751243781,0.0034712178189181373,0.00481251253258472,0.001281347245103423,0.005499929488083486
AS,0.004199475065616798,0.005685942414710864,0.005145356315924878,0.0021890547263681594,0.0046282904252241824,0.005915379987968718,0.0027457440966501922,0.006769143985333521
AT,0.004374453193350831,0.0029034599564481006,0.004244918960638024,0.003582089552238806,0.004339022273647671,0.004611991177060357,0.0020135456708768075,0.006346072486250176
AU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AV,0.004549431321084864,0.0036293249455601256,0.004244918960638024,0.006368159203980099,0.00506219265258895,0.006717465410066172,0.0032948929159802307,0.005781977154139049
AW,0.0012248468941382328,0.0009678199854827002,0.00038590172369436584,0.0001990049751243781,0.0005785363031530228,0.0013033888109083617,0.0003660992128866923,0.0021153574954167254
AY,0.0017497812773403325,0.0010887974836680378,0.0020581425263699513,0.0021890547263681594,0.002458779288400347,0.0019049528774814518,0.0016474464579901153,0.0022563813284445073
A*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0.0006999125109361329,0.00036293249455601257,0.0005145356315924878,0.0,0.002458779288400347,0.002105474233005815,0.0009152480322167307,0.0023974051614722887
CC,0.00017497812773403323,0.0013307524800387127,0.00038590172369436584,0.0,0.0018802429852473243,0.0014036494886705434,0.0003660992128866923,0.0021153574954167254
CD,0.00017497812773403323,0.0013307524800387127,0.0005145356315924878,0.0003980099502487562,0.0014463407578825572,0.0011028674553839983,0.001281347245103423,0.0008461429981666902
